Symbol,AvgRSI2,Hist,Ubb,Close,Lbb,Sma5,Sma200,Sma20
NUTEK,30.48246056,0.010551281,0.852115285,0.75,0.637884715,0.77,0.72075,0.745
HONDAPOWER,30.82320451,3.055185919,1044.96598,958.9,816.2040203,977.52,663.56275,930.585
KFA,30.92218954,-0.012669466,3.025,2.55,2.425,2.56,3.23325,2.725
NOIDATOLL,31.09570062,0.18595676,36.74209615,35,30.04790385,35.15,26.903,33.395
SIMPLEXINF,31.13753717,-0.203938811,314.9306472,279.45,258.0393528,284.51,183.60775,286.485
SELAN,31.19075134,2.050622431,573.0557386,543.4,527.0992614,554.44,490.312,550.0775
TRF,31.32428506,0.836935943,288.9482274,255.65,216.3067726,258.83,187.93225,252.6275
HEROMOTOCO,31.41597499,8.282992525,2858.944364,2682.8,2423.570636,2759.97,2283.754,2641.2575
NIITLTD,31.45490701,0.463994266,55.63494804,50.35,39.46005196,51.06,36.10625,47.5475
ELGIEQUIP,31.65101951,0.526910509,143.6810422,133.7,113.3989578,135.7,103.348,128.54
MPHASIS,31.81905867,0.50018736,459.5093013,448.45,425.6356987,449.84,414.6045,442.5725
PERSISTENT,32.30432561,-1.229514367,1339.852755,1290.8,1200.547245,1294.82,1069.12075,1270.2
PERSISTENT,32.30432561,-1.229514367,1339.852755,1290.8,1200.547245,1294.82,1069.12075,1270.2
WINSOME,32.33813265,-0.001273237,2.496113616,2.25,2.098886384,2.19,3.8715,2.2975
MANGLMCEM,32.43029058,-0.507293273,269.6092111,259.3,233.5457889,260.32,154.51825,251.5775
UCOBANK,32.43833064,-0.75660412,103.9208503,85.3,81.67414974,85.87,84.2115,92.7975
TWL,32.50628756,1.673955455,232.2075135,221,208.1724865,223.22,173.09875,220.19
JINDALSAW,32.73110761,-0.239592897,81.60344103,74.85,72.50655897,75.38,63.87475,77.055
SHREERAMA,33.24784687,0.032289933,6.276292885,5.95,5.683707115,6.07,5.99675,5.98
VESUVIUS,33.52391178,-4.229143167,753.063316,716.5,707.581684,716.69,551.8145,730.3225
DHFL,33.56104268,0.307304246,369.7501578,352.2,330.0898422,351.75,266.8,349.92
BERGEPAINT,33.80876153,-0.316654008,377.8901044,351.85,298.3648956,355.67,251.14675,338.1275
TIIL,33.83465094,-0.629959525,215.4635893,192.1,162.2214107,191.87,128.87575,188.8425
JIKIND,34.10693434,0.005828987,0.826818485,0.75,0.683181515,0.73,0.8005,0.755
MAHABANK,34.21758667,0.224267646,45.71105392,43.95,41.45894608,44.14,40.06625,43.585
SOMANYCERA,34.82565723,2.290481679,334.156567,305.4,233.513433,312.98,185.707,283.835
SBT,34.88143788,-1.659448271,589.3687139,518.15,498.4612861,517.15,475.8885,543.915
KSK,34.99826685,-0.158970238,100.738215,90.65,89.36178504,93.48,78.46275,95.05
FINANTECH,35.54110804,0.061057706,278.7240601,253.9,239.9809399,255.88,277.797,259.3525
ORIENTHOT,35.8501288,0.406649782,26.21578151,24.25,18.70421849,25.2,18.9985,22.46
SHANTIGEAR,35.99785519,1.402537441,134.9938524,118.55,74.98614762,122.02,76.20375,104.99
SOTL,36.16262968,1.326146956,737.5537053,700.65,641.8712947,705.58,530.178,689.7125
GICHSGFIN,36.26840652,0.109531526,177.6165047,167.05,153.4934953,168.19,128.32925,165.555
LYPSAGEMS,36.46328414,-0.450487305,163.9829593,145.9,138.5270407,145.57,156.96525,151.255
JPASSOCIAT,36.55372933,-1.105365288,63.54822232,36.05,31.92177768,35.75,55.93925,47.735
AMTEKAUTO,36.64179894,0.089061163,248.0466572,238.2,229.3533428,238.76,158.52475,238.7
IBREALEST,36.67239628,0.259850121,74.96668091,68,65.89331909,68.66,69.73675,70.43
RELINFRA,36.71438925,-1.260167136,748.955002,704.55,683.379998,702.8,552.937,716.1675
ITI,36.83767651,0.11596467,31.81136049,30.1,28.78863951,30.97,21.50575,30.3
PROZONECSC,36.88698671,0.254877002,20.91061467,18.65,15.29938533,19.77,17.7475,18.105
KANANIIND,36.90112973,0.011321408,9.392052364,8.85,8.642947636,9,10.39375,9.0175
RSWM,37.14744493,-2.352514529,235.4577352,207.6,197.3222648,207.05,166.99475,216.39
BPCL,37.16505355,-2.099090888,738.8367681,676.9,603.9832319,691.81,475.223,671.41
PRAKASH,37.36929279,0.919194635,83.87099434,73.35,65.14400566,72.79,67.0495,74.5075
BIRLACOT,37.37406945,-3.27E-04,0.182016235,0.15,0.087983765,0.12,0.1305,0.135
KIL,37.3921381,0.330258749,57.23042008,54.85,44.35957992,53.62,30.44775,50.795
ECLERX,37.40098478,-3.602596785,1396.190548,1315.3,1217.594452,1329.73,1179.0475,1306.8925
GRUH,37.68951067,-0.624142833,217.3250808,201.4,196.3599192,201.2,258.41825,206.8425
PIDILITIND,37.82270404,-2.115407063,420.7099707,393.25,357.0100293,392.93,313.48825,388.86
GPIL,37.98556905,-0.425476893,175.2740892,159.2,153.7559108,165.05,111.474,164.515
HEXATRADEX,38.05157153,-0.195570979,36.95978045,31.9,30.13521955,31.89,25.597,33.5475
ORIENTBANK,38.12270695,1.174157459,287.5165242,273.65,258.4834758,276.45,245.12175,273
STERLINBIO,38.40047411,-2.07E-04,13.15225204,11.45,11.05774796,11.54,10.694,12.105
MEGASOFT,38.44635565,0.00546935,9.490797365,9.05,8.194202635,8.81,7.72375,8.8425
SANWARIA,38.47490496,0.020810242,8.420788123,8.1,7.959211877,8.11,8.922,8.19
GREENPLY,38.4789261,-1.229682796,1068.024979,1000.85,854.5900212,1017.73,518.389,961.3075
HCLTECH,38.72342475,0.416449762,1707.501277,1635,1500.168723,1653.48,1409.11825,1603.835
KIRLOSBROS,38.7451022,2.305761857,314.583711,301.85,256.361289,305.32,204.90625,285.4725
RECLTD,38.80691931,1.431377232,294.0434448,268,258.6415552,270.87,256.44525,276.3425
ASHIANA,38.93917238,-0.913369097,159.1100837,149.1,144.7849163,150.84,101.85125,151.9475
SPECIALITY,38.96445168,0.907562692,143.0565105,138.1,127.0434895,139.07,134.70675,135.05
THEBYKE,39.07833333,-0.116194184,324.7835841,318.65,316.6664159,320.09,315.22125,320.725
TAJGVK,39.11581143,0.276535324,128.7059242,117.65,91.13407582,118.46,75.50775,109.92
VIVIMEDLAB,39.30966387,0.818400003,333.7567389,321.45,291.2382611,325.25,230.4875,312.4975
RCOM,39.48130219,-0.301277011,127.9133441,111.3,109.1666559,112.07,129.39725,118.54
KCP,39.65401706,0.087446363,56.89883254,51.7,42.37116746,51.68,36.5975,49.635
ANDHRABANK,39.76333899,0.339982562,77.77343186,73.6,70.79156814,72.87,71.80575,74.2825
UNITEDBNK,39.9838736,0.033124483,48.13662997,46.05,45.05837003,46.28,37.61425,46.5975
RAJESHEXPO,40.1945943,1.571704881,161.3734585,155.1,137.2565415,156.04,116.24975,149.315
INDOTHAI,40.400469,-0.001297172,19.85314318,18.3,17.47685682,18.34,14.592,18.665
DWARKESH,40.75974007,0.230271601,38.47914573,37,34.57585427,37.1,30.4235,36.5275
