Symbol	Close	High	Low	Avg3RSI2	Sma200	Sma5	Lbbrange	Lbbslope	Lbbnegslopedur	RSI1	RSI2	RSI3	Lowrsidays	LastUpdated	CD1	CD2	CD3	CD4	CD5	Avggain	Avgloss	Avgvolume	Last4
NETWORK18	62.4	67.2	62.1	56.14985339	18.65064103	-3.349358974	7.885493725	-1.202539978	0	13.33132767	82.79173152	72.32650099	4	1/14/2015	4.732824427	-0.6917755573	0.1534919417	-1.243201243	-4.294975689	0.2462945278	1.601192339	1066459.4	62.4/65.5/65.05/65.15/64.35
INGERRAND	907.6	911.4	899.25	56.30882108	25.89455707	-0.3552207032	47.76238402	-2.702151237	0	58.3730785	32.78533418	77.76805057	4	1/14/2015	-0.8948918904	1.656280748	-0.8878839685	0.5975222015	-3.866082104	6.171781237	4.401211306	31179.89474	907.6/899.55/914.7/906.65/912.1
GEOMETRIC	129.5	132.4	128.4	56.31841157	-2.983397683	-0.3243243243	41.63870681	-2.395231976	0	43.12439753	72.93367387	52.89716332	4	1/14/2015	0.993883792	-1.238390093	-0.5447470817	2.3556231	-4.818797292	0.6858245941	0.9045155228	180807.1053	129.5/130.8/129.2/128.5/131.6
MBECL	80.65	83.45	80.2	56.38293593	-7.352758834	-1.00433974	33.84131342	-3.755136286	0	33.41138298	65.61576302	70.1216618	6	1/14/2015	1.82592818	0.2428658166	-3.389830508	3.454545455	-6.934543098	0.5105625504	1.017547048	44479.05263	80.65/82.15/82.35/79.65/82.5
LUMAXTECH	368.95	377	362.65	56.5017543	44.51768532	0	67.05588318	-0.8566913156	0	66.32126155	76.75369912	26.43030224	5	1/14/2015	0.4452239611	-4.028070175	1.629159188	1.30808012	-2.700811643	4.025503867	2.044199533	52718.68421	368.95/370.6/356.25/362.15/366.95
NFL	38.4	39.15	37.15	56.52523436	9.545572917	0	94.60547089	1.519009331	1	93.63673046	31.07835734	44.86061529	5	1/14/2015	-4.347826087	0.27100271	0	-0.2717391304	2.127659574	0.8252896557	0.05608419366	314618.3684	38.4/36.8/36.9/36.9/36.8
GENUSPOWER	26.55	27.45	26.2	56.60524387	7.639359699	-1.129943503	40.38737996	-2.743281337	0	33.39305483	53.08814597	83.33453081	4	1/14/2015	2.389705882	2.857142857	-7.899807322	2.259887006	-4.322200393	0.2925358358	0.5835021228	112583.7895	26.55/27.2/28.0/25.95/26.55
INDIAGLYCO	102.55	107.4	102.05	56.60792545	-13.99000488	-0.04875670405	49.43802485	-0.6005989762	0	39.46240379	92.16093963	38.20043295	4	1/14/2015	3.663691874	-5.032067094	-0.2968827313	0.5413385827	-0.6937561943	1.345756519	2.064467872	92519.31579	102.55/106.45/101.35/101.05/101.6
PEL	840.35	845	828	56.61109155	16.7060451	0	63.86333294	-0.7591776113	0	65.00889409	23.02018202	81.80419854	4	1/13/2015	-1.033964533	1.223205273	-0.1963350785	-0.6165818617	-0.9731624758	5.124901938	2.758483882	39048.7	840.35/831.75/842.05/840.4/835.25
GPIL	119.35	124	118.05	56.75443234	-15.60892333	-0.9886887306	33.43963626	-0.0229188662	0	27.48895351	86.18389507	56.59044843	4	1/14/2015	3.360323887	-2.192800993	-0.9185803758	-0.461409396	0.08382229673	0.8375326597	2.209264518	47653	119.35/123.5/120.85/119.75/119.2
